City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,arusha,-3.3667,36.6833,18.02000000000004,89,99,1.21,TZ,1701228538
94,lupane,-18.9315,27.807,23.600000000000023,42,78,1.22,ZW,1701228538
95,pingliang,35.5392,106.6861,0.05000000000001137,47,100,2.52,CN,1701228539
96,alice springs,-23.7,133.8833,29.75,28,75,5.66,AU,1701228540
97,aleg,17.0481,-13.9209,23.370000000000005,15,2,4.27,MR,1701228540
98,el hadjira,32.6134,5.5126,18.05000000000001,31,100,2.04,DZ,1701228540
99,nuku'alofa,-21.1333,-175.2,29.189999999999998,89,20,5.14,TO,1701228540
100,pionerskiy,54.9508,20.2275,-3.25,67,100,6.21,RU,1701228541
101,waitangi,-43.9535,-176.5597,14.340000000000032,73,100,1.79,NZ,1701228541
102,utrik,11.2278,169.8474,27.74000000000001,75,77,8.57,MH,1701228541
103,rio gallegos,-51.6226,-69.2181,11.03000000000003,46,0,7.2,AR,1701228541
104,kodiak,57.79,-152.4072,2.730000000000018,87,100,1.54,US,1701228541
105,fale old settlement,-9.3852,-171.2468,28.370000000000005,71,100,2.55,TK,1701228542
106,isafjordur,66.0755,-23.124,1.420000000000016,98,100,4.49,IS,1701228047
107,zawoja,49.644,19.5423,-7.069999999999993,100,100,1.56,PL,1701228546
108,mau,25.95,83.55,21.350000000000023,57,0,2.04,IN,1701228550
109,hithadhoo,-0.6,73.0833,28.200000000000045,74,100,4.21,MV,1701228010
110,badger,64.8,-147.5333,-4.0499999999999545,87,100,4.63,US,1701228551
111,bandarbeyla,9.4942,50.8122,25.439999999999998,69,97,9.79,SO,1701228551
112,gewane,10.1664,40.6453,23.99000000000001,45,66,1.82,ET,1701228551
113,constantia,44.1833,28.65,6.5,77,98,10.7,RO,1701228314
114,sao joao da barra,-21.6403,-41.0511,23.720000000000027,92,97,4.25,BR,1701228551
115,isiro,2.7739,27.616,19.640000000000043,98,100,1.25,CD,1701228552
116,west island,-12.1568,96.8225,28.99000000000001,58,37,4.63,CC,1701228553
117,namdrik,5.5994,168.1028,27.5,81,100,8.29,MH,1701228555
118,soja,34.6667,133.75,14.350000000000023,62,75,5.14,JP,1701228556
119,kolonia town,6.964,158.206,25.060000000000002,94,100,2.06,FM,1701228557
120,balsas,-7.5325,-46.0356,26.400000000000034,51,41,1.12,BR,1701228559
121,funadhoo,6.15,73.2667,28.230000000000018,76,100,6.46,MV,1701228559
122,san cristobal cucho,14.9,-91.7833,13.120000000000005,94,91,3.47,GT,1701228560
